audio_id,collecteur_id,speaker,age,sexe,position,type_item,decision,traduction
P02_S02_ISO01.wav,P02,S02,45,F,,isole,correct,ch
P02_S02_P04.wav,P02,S02,45,F,,phrase,correct,chocolat au lait
P02_S02_P06.wav,P02,S02,45,F,,phrase,correct,chocolat au lait
P02_S02_SYL01.wav,P02,S02,45,F,,syllabe,correct,cha
P02_S02_SYL02.wav,P02,S02,45,F,,syllabe,correct,chi
P02_S02_F01.wav,P02,S02,45,F,final,mot,correct,bouche
P02_S02_F02.wav,P02,S02,45,F,final,mot,correct,fleche
P02_S02_F03.wav,P02,S02,45,F,final,mot,correct,niche
P02_S02_F04.wav,P02,S02,45,F,final,mot,correct,manche
P02_S02_I03.wav,P02,S02,45,F,initial,mot,correct,chocolat au lait
P02_S02_I04.wav,P02,S02,45,F,initial,mot,correct,chaussure
P02_S02_M04.wav,P02,S02,45,F,median,mot,correct,t-shirt
P02_S03_ISO01.wav,P02,S03,12,F,,isole,correct,ch
P02_S03_P04.wav,P02,S03,12,F,,phrase,correct,chocolat au lait
P02_S03_P06.wav,P02,S03,12,F,,phrase,correct,chocolat au lait
P02_S03_SYL01.wav,P02,S03,12,F,,syllabe,correct,cha
P02_S03_SYL02.wav,P02,S03,12,F,,syllabe,correct,chi
P02_S03_F01.wav,P02,S03,12,F,final,mot,correct,bouche
P02_S03_F02.wav,P02,S03,12,F,final,mot,correct,fleche
P02_S03_F03.wav,P02,S03,12,F,final,mot,correct,niche
P02_S03_F04.wav,P02,S03,12,F,final,mot,correct,manche
P02_S03_I03.wav,P02,S03,12,F,initial,mot,correct,chocolat au lait
P02_S03_I04.wav,P02,S03,12,F,initial,mot,correct,chaussure
P02_S03_M04.wav,P02,S03,12,F,median,mot,correct,t-shirt
P04_S01_M01.wav,P04,S01,37,F,median,mot,correct,machine
P04_S01_I05.wav,P04,S01,37,F,initial,mot,correct,chapeau
P04_S01_I01.wav,P04,S01,37,F,initial,mot,correct,chat
P04_S01_I03.wav,P04,S01,37,F,initial,mot,correct,La fourchette tombe
P04_S01_P03.wav,P04,S01,37,F,,phrase,correct,Charriot de courses
P04_S01_P09.wav,P04,S01,37,F,,phrase,correct,La fourchette tombe
P04_S01_SYL03.wav,P04,S01,37,F,,syllabe,correct,cho
P04_S01_SYL02.wav,P04,S01,37,F,,syllabe,correct,chi
P04_S01_M03.wav,P04,S01,37,F,median,mot,correct,échelle
P04_S01_P05.wav,P04,S01,37,F,,phrase,correct,La fourchette tombe
P04_S01_M02.wav,P04,S01,37,F,median,mot,correct,bouchon
P04_S01_F05.wav,P04,S01,37,F,final,mot,correct,vache
P04_S02_M01.wav,P04,S02,38,F,median,mot,correct,machine
P04_S02_I05.wav,P04,S02,38,F,initial,mot,correct,chapeau
P04_S02_I01.wav,P04,S02,38,F,initial,mot,correct,chat
P04_S02_I03.wav,P04,S02,38,F,initial,mot,correct,La fourchette tombe
P04_S02_P03.wav,P04,S02,38,F,,phrase,correct,Charriot de courses
P04_S02_P09.wav,P04,S02,38,F,,phrase,correct,La fourchette tombe
P04_S02_SYL03.wav,P04,S02,38,F,,syllabe,correct,cho
P04_S02_SYL02.wav,P04,S02,38,F,,syllabe,correct,chi
P04_S02_M03.wav,P04,S02,38,F,median,mot,correct,échelle
P04_S02_P05.wav,P04,S02,38,F,,phrase,correct,La fourchette tombe
P04_S02_M02.wav,P04,S02,38,F,median,mot,correct,bouchon
P04_S02_F05.wav,P04,S02,38,F,final,mot,correct,vache
P07_S01_SYL02.wav,P07,S01,54,F,,syllabe,correct,chi
P07_S01_P06.wav,P07,S01,54,F,,phrase,correct,Il lave le tee-shirt
P07_S01_I04.wav,P07,S01,54,F,initial,mot,correct,chaussure
P07_S01_P08.wav,P07,S01,54,F,,phrase,correct,Il dort dans la niche
P07_S01_SYL03.wav,P07,S01,54,F,,syllabe,correct,cho
P07_S01_M03.wav,P07,S01,54,F,median,mot,correct,échelle
P07_S01_I05.wav,P07,S01,54,F,initial,mot,correct,chapeau
P07_S01_M05.wav,P07,S01,54,F,median,mot,correct,fourchette
P07_S01_F05.wav,P07,S01,54,F,final,mot,correct,vache
P07_S01_M02.wav,P07,S01,54,F,median,mot,correct,bouchon
P07_S01_I02.wav,P07,S01,54,F,initial,mot,correct,Il dort dans la niche
P07_S01_F06.wav,P07,S01,54,F,final,mot,correct,poche
